accountnumber,b2bcnt2y,model2score,sbfecardcount
a3P4u000004AqdZEAS,0.0,749,-99.0
a3P4u000004AqdeEAC,-99999.0,222,-99.0
a3P4u000004AqdoEAC,0.0,703,-99.0
a3P4u000004AqeNEAS,1.0,777,2.0
a3P4u000004AqerEAC,0.0,635,1.0
a3P4u000004AqfGEAS,0.0,682,2.0
a3P4u000004AqfQEAS,0.0,690,-99.0
a3P4u000004AqffEAC,0.0,705,-99.0
a3P4u000004AqfpEAC,-99999.0,222,-99.0
a3P4u000004AqgnEAC,-99999.0,222,-99.0
a3P4u000004AqgxEAC,0.0,694,-99.0
a3P4u000004AqhlEAC,0.0,699,2.0
a3P4u000004AqjDEAS,0.0,717,-99.0
a3P4u000004AqnyEAC,0.0,640,-99.0
a3P4u000004AqpkEAC,0.0,651,-99.0
a3P4u000004AqqnEAC,1.0,718,1.0
a3P4u000004AqrvEAC,0.0,649,-99.0
a3P4u000004AqsUEAS,0.0,753,-99.0
a3P4u000004Aqt3EAC,-99999.0,222,-99.0
a3P4u000004AqtcEAC,0.0,785,2.0
a3P4u000004Aqu6EAC,-99999.0,222,-99.0
a3P4u000004AquGEAS,-99999.0,222,-99.0
a3P4u000004AquaEAC,1.0,749,-99.0
a3P4u000004AqupEAC,0.0,696,-99.0
a3P4u000004AqvOEAS,2.0,719,-99.0
a3P4u000004AqvTEAS,-99999.0,222,-99.0
a3P4u000004AqvdEAC,0.0,625,1.0
a3P4u000004AqvsEAC,0.0,646,-99.0
a3P4u000004AqwHEAS,0.0,685,2.0
a3P4u000004Aqx5EAC,0.0,672,-99.0
a3P4u000004AqxoEAC,-99999.0,222,-99.0
a3P4u000004Aqy8EAC,0.0,689,3.0
a3P4u000004Ar1PEAS,0.0,736,1.0
a3P4u000004Ar1jEAC,1.0,753,3.0
a3P4u000004Ar1oEAC,0.0,646,-99.0
a3P4u000004Ar1yEAC,-99999.0,222,-99.0
a3P4u000004Ar3VEAS,0.0,624,2.0
a3P4u000004Ar3uEAC,0.0,667,0.0
a3P4u000004Ar4OEAS,0.0,663,-99.0
a3P4u000004Ar8GEAS,0.0,706,-99.0
a3P4u000004ArAHEA0,0.0,726,-99.0
a3P4u000004ArAqEAK,-99999.0,222,-99.0
a3P4u000004ArBpEAK,0.0,700,-99.0
a3P4u000004ArDgEAK,1.0,736,1.0
a3P4u000004ArEeEAK,0.0,709,-99.0
a3P4u000004ArEtEAK,0.0,706,-99.0
a3P4u000004ArF8EAK,0.0,655,-99.0
a3P4u000004ArFSEA0,1.0,717,2.0
a3P4u000004ArKXEA0,0.0,681,1.0
a3P4u000004ArKcEAK,0.0,708,1.0
a3P4u000004ArKmEAK,0.0,744,-99.0
a3P4u000004ArLaEAK,0.0,693,-99.0
a3P4u000004ArMJEA0,0.0,735,3.0
a3P4u000004ArOeEAK,0.0,620,-99.0
a3P4u000004ArOtEAK,0.0,643,1.0
a3P4u000004ArPNEA0,0.0,731,-99.0
a3P4u000004ArQVEA0,0.0,681,3.0
a3P4u000004ArR9EAK,-99999.0,222,-99.0
a3P4u000004ArROEA0,0.0,735,-99.0
a3P4u000004ArSMEA0,0.0,776,1.0
a3P4u000004ArTPEA0,1.0,642,1.0
a3P4u000004ArV6EAK,2.0,691,0.0
a3P4u000004ArVBEA0,0.0,688,2.0
a3P4u000004ArVQEA0,2.0,660,-99.0
a3P4u000004ArVuEAK,0.0,686,-99.0
a3P4u000004ArXSEA0,0.0,669,1.0
a3P4u000004ArXXEA0,0.0,609,1.0
a3P4u000004ArXcEAK,1.0,660,-99.0
a3P4u000004ArYaEAK,-99999.0,222,-99.0
a3P4u000004ArZOEA0,1.0,678,1.0
a3P4u000004AraqEAC,1.0,772,2.0
a3P4u000004ArbyEAC,1.0,683,3.0
a3P4u000004AredEAC,0.0,639,1.0
a3P4u000004Arf2EAC,0.0,686,1.0
a3P4u000004ArfCEAS,0.0,591,-99.0
a3P4u000004ArfbEAC,0.0,618,1.0
a3P4u000004ArfgEAC,0.0,642,-99.0
a3P4u000004Arg0EAC,0.0,627,1.0
a3P4u000004Arg5EAC,-99999.0,222,-99.0
a3P4u000004ArhDEAS,0.0,718,-99.0
a3P4u000004ArhSEAS,-99999.0,222,-99.0
a3P4u000004ArhrEAC,0.0,699,-99.0
a3P4u000004AriuEAC,0.0,677,-99.0
a3P4u000004Ark2EAC,1.0,734,-99.0
a3P4u000004ArkWEAS,-99999.0,222,-99.0
a3P4u000004ArklEAC,0.0,798,3.0
a3P4u000004AruSEAS,0.0,515,-99.0
a3P4u000004Arv6EAC,1.0,806,1.0
a3P4u000004ArvQEAS,0.0,516,1.0
a3P4u000004ArvVEAS,0.0,699,-99.0
a3P4u000004ArwEEAS,1.0,693,-99.0
a3P4u000004ArwdEAC,0.0,685,-99.0
a3P4u000004AryUEAS,-99999.0,222,-99.0
a3P4u000004AryoEAC,0.0,788,1.0
a3P4u000004Arz8EAC,1.0,725,-99.0
a3P4u000004As0aEAC,0.0,667,1.0
a3P4u000004As2lEAC,0.0,700,0.0
a3P4u000004As35EAC,0.0,630,1.0
a3P4u000004As3AEAS,0.0,674,-99.0
a3P4u000004As3eEAC,1.0,675,-99.0
a3P4u000004As56EAC,1.0,636,1.0
a3P4u000004As5uEAC,0.0,647,-99.0
a3P4u000004As69EAC,1.0,694,1.0
a3P4u000004As6yEAC,0.0,664,-99.0
a3P4u000004As8KEAS,1.0,721,-99.0
a3P4u000004As8eEAC,0.0,543,-99.0
a3P4u000004As93EAC,0.0,639,-99.0
a3P4u000004As9IEAS,0.0,753,-99.0
a3P4u000004AsA6EAK,0.0,665,-99.0
a3P4u000004AsAVEA0,0.0,707,1.0
a3P4u000004AsCREA0,0.0,708,-99.0
a3P4u000004AsCWEA0,1.0,635,2.0
a3P4u000004AsFnEAK,0.0,577,1.0
a3P4u000004AsFsEAK,0.0,727,-99.0
a3P4u000004AsIDEA0,0.0,720,1.0
a3P4u000004AsJmEAK,-99999.0,222,-99.0
a3P4u000004AsJrEAK,0.0,745,7.0
a3P4u000004AsMCEA0,-99999.0,222,-99.0
a3P4u000004AsMHEA0,0.0,698,-99.0
a3P4u000004AsN5EAK,0.0,704,-99.0
a3P4u000004AsO8EAK,1.0,723,-99.0
