name,b2bcnt2y,model2score,sbfecardcount
Application-430760,0.0,702,-99.0
Application-438401,0.0,683,-99.0
Application-412302,0.0,626,-99.0
Application-446905,0.0,697,-99.0
Application-424819,0.0,631,4.0
Application-447316,0.0,604,-99.0
Application-419307,0.0,717,-99.0
Application-418865,2.0,704,-99.0
Application-429072,0.0,731,-99.0
Application-444549,0.0,706,-99.0
Application-409852,1.0,584,-99.0
Application-390324,1.0,604,-99.0
Application-407832,1.0,665,-99.0
Application-442232,-99999.0,222,-99.0
Application-413982,0.0,665,-99.0
Application-416424,0.0,685,-99.0
Application-396832,0.0,638,-99.0
Application-374876,1.0,629,-99.0
Application-378552,1.0,641,0.0
Application-396480,1.0,647,-99.0
Application-410744,3.0,621,-99.0
Application-428416,0.0,683,-99.0
Application-422916,0.0,655,-99.0
Application-374439,0.0,722,-99.0
Application-393013,3.0,688,-99.0
Application-445626,0.0,675,-99.0
Application-383069,0.0,663,-99.0
Application-403517,1.0,696,1.0
Application-445917,1.0,677,-99.0
Application-439142,0.0,704,-99.0
Application-409596,0.0,707,-99.0
Application-420164,0.0,591,-99.0
Application-405878,0.0,588,-99.0
Application-445949,0.0,569,-99.0
Application-404841,0.0,620,-99.0
Application-414735,0.0,607,-99.0
Application-440533,0.0,659,-99.0
Application-413139,-99999.0,222,-99.0
Application-377401,1.0,638,-99.0
Application-435999,0.0,710,-99.0
Application-388523,0.0,743,-99.0
Application-419653,-99999.0,222,-99.0
Application-431881,-99999.0,222,-99.0
Application-399301,-99999.0,222,-99.0
Application-404363,0.0,622,1.0
Application-438284,1.0,702,-99.0
Application-391565,-99999.0,222,-99.0
Application-444837,0.0,691,-99.0
Application-390834,0.0,764,-99.0
Application-444017,0.0,611,-99.0
Application-412161,0.0,672,-99.0
Application-414131,1.0,670,-99.0
Application-433760,1.0,678,-99.0
Application-443585,0.0,694,-99.0
Application-446383,0.0,708,-99.0
Application-420085,1.0,716,0.0
Application-416146,0.0,669,-99.0
Application-384296,0.0,621,-99.0
Application-425318,1.0,591,-99.0
Application-435977,2.0,714,-99.0
Application-433228,0.0,698,-99.0
Application-432818,0.0,699,-99.0
Application-444929,0.0,645,-99.0
Application-380966,1.0,662,-99.0
Application-420075,0.0,704,-99.0
Application-387484,0.0,677,-99.0
Application-416872,1.0,602,-99.0
Application-391058,1.0,502,-99.0
Application-422568,0.0,671,-99.0
Application-374816,0.0,598,-99.0
Application-400924,0.0,684,-99.0
Application-381498,-99999.0,222,-99.0
Application-401903,0.0,697,-99.0
Application-416390,0.0,703,-99.0
Application-417655,0.0,710,-99.0
Application-416165,0.0,664,-99.0
Application-420380,0.0,688,2.0
Application-430426,0.0,696,-99.0
Application-444195,0.0,684,-99.0
Application-423414,0.0,635,1.0
Application-388839,0.0,736,-99.0
Application-418878,0.0,714,-99.0
Application-387246,1.0,692,-99.0
Application-411398,0.0,709,-99.0
Application-426078,0.0,702,-99.0
Application-426697,0.0,619,-99.0
Application-442859,0.0,608,-99.0
Application-394742,0.0,657,-99.0
Application-385354,0.0,715,-99.0
Application-422421,2.0,664,1.0
Application-433550,0.0,689,-99.0
Application-428670,0.0,688,-99.0
Application-426174,0.0,701,-99.0
Application-394038,0.0,627,-99.0
Application-449429,0.0,659,-99.0
Application-446068,0.0,664,-99.0
Application-446748,4.0,623,2.0
Application-440072,0.0,741,-99.0
Application-421575,0.0,574,1.0
Application-384442,0.0,692,-99.0
Application-445501,0.0,647,-99.0
Application-437007,4.0,696,-99.0
Application-445192,0.0,644,-99.0
Application-435104,0.0,712,-99.0
Application-423963,1.0,547,1.0
Application-431179,0.0,688,-99.0
Application-412386,-99999.0,222,-99.0
Application-432973,0.0,671,-99.0
Application-405497,0.0,672,-99.0
Application-402271,1.0,652,-99.0
Application-429753,0.0,752,-99.0
Application-434273,0.0,708,-99.0
Application-416399,0.0,682,-99.0
Application-421632,0.0,630,-99.0
Application-439458,1.0,723,-99.0
Application-402398,0.0,715,-99.0
Application-441563,2.0,650,-99.0
Application-434922,1.0,663,-99.0
Application-439745,1.0,690,-99.0
Application-396044,0.0,661,-99.0
Application-378574,0.0,685,1.0
Application-376653,0.0,685,2.0
Application-422718,0.0,708,-99.0
Application-419026,0.0,731,-99.0
Application-412387,1.0,549,1.0
Application-379728,0.0,627,-99.0
Application-408646,0.0,697,-99.0
Application-412881,0.0,706,-99.0
Application-442455,1.0,695,-99.0
Application-391883,0.0,716,-99.0
Application-395128,0.0,651,-99.0
Application-398321,0.0,580,1.0
Application-433019,-99999.0,222,-99.0
Application-440910,0.0,700,-99.0
Application-406894,0.0,681,-99.0
Application-421019,-99999.0,222,-99.0
